1;3599.00;11.45;696.00;big
1;0.00;9.50;0.00;big
3;4503.00;9.50;1141.00;big
3;4447.00;9.50;841.00;big
4;2781.00;9.50;1595.00;big
4;2786.00;9.50;1480.00;big
5;3042.00;9.50;1408.00;big
5;2874.00;9.50;1333.00;big
6;3369.00;9.50;1598.00;big
6;3457.00;9.50;1738.00;big
7;527.00;9.50;823.00;big
7;256.00;9.50;1186.00;big
8;515.00;9.50;1834.00;big
8;188.00;9.50;1736.00;big
9;1620.00;9.50;1006.00;big
9;1516.00;9.50;1029.00;big
10;205.00;9.50;358.00;big
10;705.00;9.50;211.00;big
11;1814.00;9.50;1046.00;big
11;1733.00;9.50;1018.00;big
12;4018.00;9.50;1901.00;big
12;4432.00;9.50;1839.00;big
13;3332.00;10.20;512.00;big
13;3441.00;13.40;555.00;big
14;1148.00;9.50;1093.00;big
14;1195.00;9.50;911.00;big
15;4156.00;9.50;1593.00;big
15;4394.00;9.50;1327.00;big
16;3179.00;9.50;1491.00;big
16;3359.00;9.50;1503.00;big
17;5420.00;9.50;1773.00;big
17;4951.00;9.50;1804.00;big
18;3064.00;9.50;1639.00;big
18;3177.00;9.50;1598.00;big
19;1009.00;9.50;1440.00;big
19;645.00;9.50;1434.00;big
20;2479.00;9.50;1656.00;big
20;2483.00;9.50;1587.00;big
21;4826.00;9.50;1316.00;big
21;4559.00;9.50;1474.00;big
22;2621.00;9.50;1526.00;big
22;2523.00;9.50;1569.00;big
23;2340.00;9.50;1501.00;big
23;2480.00;9.50;1521.00;big
24;2263.00;9.50;1369.00;big
24;2138.00;9.50;1364.00;big
25;4135.00;9.50;942.00;big
25;4263.00;9.50;1037.00;big
26;2747.00;9.50;1319.00;big
26;2659.00;9.50;1455.00;big
27;4106.00;9.50;487.00;big
27;4076.00;9.50;745.00;big
28;4234.00;9.50;406.00;big
28;4420.00;9.50;592.00;big
29;2201.00;9.50;1059.00;big
29;2327.00;9.50;1225.00;big
30;2514.00;9.50;1349.00;big
30;2407.00;9.50;1341.00;big
31;2701.00;9.50;1158.00;big
31;2585.00;9.50;1234.00;big
32;2388.00;9.50;1136.00;big
32;2474.00;9.50;1221.00;big
33;2082.00;9.50;1601.00;big
33;2012.00;9.50;1475.00;big
34;3191.00;9.50;82.00;big
34;3334.00;9.50;148.00;big
35;1683.00;9.50;1211.00;big
